CountryName,Population,GDP per capita,Health expenditure per capita,Life expectancy at birth,CO2 emissions,Urban population,Region
Montenegro,619428,4524.707078,458.0093418,74.41673171,0.302323909,63.096,Europe & Central Asia
Morocco,32107739,2315.079592,168.0696917,72.57692683,0.26405707,57.684,Middle East & North Africa
Mozambique,24321457,454.4612788,23.13721063,53.22690244,0.129329233,30.955,Sub-Saharan Africa
Myanmar,51733013,,15.18997346,64.9174878,,31.405,East Asia & Pacific
Namibia,2193643,4125.401922,406.8378295,62.48029268,0.17291093,41.616,Sub-Saharan Africa
Nepal,26875910,375.9236052,35.62231116,67.9714878,0.080695645,16.822,South Asia
Netherlands,16615394,43505.02438,5695.658709,80.70243902,0.238846305,87.061,Europe & Central Asia
New Caledonia,250000,,,77.47317073,,67.273,East Asia & Pacific
New Zealand,4350700,27856.42643,3285.484382,80.70243902,0.229304625,86.165,East Asia & Pacific
Nicaragua,5737722,1246.861596,112.4237814,73.58173171,0.200264514,57.255,Latin America & Caribbean
Niger,16291990,268.9442094,23.95183197,58.259,0.101205537,17.559,Sub-Saharan Africa
Nigeria,159424742,997.4479028,80.55732993,51.3295122,0.104347671,43.48,Sub-Saharan Africa
Northern Mariana Islands,53860,,,,,89.474,East Asia & Pacific
Norway,4889252,66117.00697,8164.474016,80.99756098,0.184542236,79.102,Europe & Central Asia
Oman,2943747,13983.57032,578.0761056,76.05280488,0.408320798,75.161,Middle East & North Africa
Pakistan,170043918,761.6709408,30.39762696,65.16256098,0.222816776,36.598,South Asia
Palau,20470,8041.013316,967.8906008,,0.872573927,83.358,East Asia & Pacific
Panama,3620506,6243.141048,630.4071542,76.86363415,0.161560058,65.115,Latin America & Caribbean
Papua New Guinea,6847517,949.0456449,48.97083291,61.99482927,0.314412282,13.019,East Asia & Pacific
Paraguay,6209877,1795.229758,273.0417525,72.30129268,0.112115442,58.487,Latin America & Caribbean
Peru,29373644,3561.164949,252.8585921,73.63980488,0.199410781,76.915,Latin America & Caribbean
Philippines,93038902,1409.498047,90.34522843,67.78331707,0.155747275,45.255,East Asia & Pacific
Poland,38042794,10075.11194,864.448614,76.24634146,0.388437627,60.892,Europe & Central Asia
Portugal,10573100,19240.68668,2352.31986,79.02682927,0.17121347,60.567,Europe & Central Asia
Puerto Rico,3721527,20173.85976,,78.1822439,,93.825,Latin America & Caribbean
Qatar,1765513,59151.75238,1496.477761,77.8255122,0.333977232,98.655,Middle East & North Africa
Romania,20246871,5685.371972,482.9457049,73.45853659,0.225783431,53.829,Europe & Central Asia
Rwanda,10293669,373.710066,57.89095379,61.40178049,0.04316994,23.952,Sub-Saharan Africa
Samoa,186029,2621.387552,201.4042366,72.417,0.204270902,20.078,East Asia & Pacific
San Marino,30690,,3335.091977,83.15937916,,94.086,Europe & Central Asia
Saudi Arabia,28090647,15134.79303,668.0992361,73.70160976,0.428903724,82.084,Middle East & North Africa
Senegal,12956791,799.3798081,46.15929642,64.01443902,0.29192118,42.23,Sub-Saharan Africa
Serbia,7291436,4106.570445,540.1105659,74.33658537,0.511519429,55.208,Europe & Central Asia
